date,gap
2004-01-01,0.07519999999999993
2004-02-01,-0.06910000000000016
2004-03-01,-0.0656000000000001
2004-04-01,0.2097
2004-05-01,0.3025
2004-06-01,0.17189999999999994
2004-07-01,0.24520000000000008
2004-08-01,0.12519999999999998
2004-09-01,-0.0006999999999999229
2004-10-01,-0.023199999999999887
2004-11-01,-0.024499999999999966
2004-12-01,-0.17679999999999985
2005-01-01,-0.14500000000000002
2005-02-01,-0.07190000000000007
2005-03-01,-0.07820000000000005
2005-04-01,0.12559999999999993
2005-05-01,-0.03200000000000003
2005-06-01,-0.045600000000000085
2005-07-01,-0.03839999999999999
2005-08-01,-0.12179999999999991
2005-09-01,-0.019600000000000062
2005-10-01,0.13139999999999996
2005-11-01,0.25419999999999976
2005-12-01,0.2154999999999998
2006-01-01,0.3508000000000002
2006-02-01,0.3275000000000001
2006-03-01,0.1671999999999998
2006-04-01,0.23050000000000015
2006-05-01,0.38819999999999966
2006-06-01,0.20910000000000006
2006-07-01,0.22019999999999973
2006-08-01,0.1640999999999997
2006-09-01,0.19069999999999965
2006-10-01,0.1428999999999998
2006-11-01,0.10780000000000012
2006-12-01,-0.06309999999999993
2007-01-01,-0.0921999999999994
2007-02-01,-0.10069999999999979
2007-03-01,-0.07949999999999946
2007-04-01,0.056400000000000006
2007-05-01,0.02929999999999988
2007-06-01,-0.04070000000000018
2007-07-01,-0.048199999999999577
2007-08-01,-0.2686999999999997
2007-09-01,-0.42819999999999925
2007-10-01,-0.5692999999999995
2007-11-01,-0.8156999999999994
2007-12-01,-0.8169999999999997
2008-01-01,-0.8863999999999996
2008-02-01,-0.7343999999999997
2008-03-01,-0.6984999999999997
2008-04-01,-0.5198999999999998
2008-05-01,-0.5019999999999998
2008-06-01,-0.35909999999999975
2008-07-01,-0.252
2008-08-01,-0.2526999999999997
2008-09-01,-0.2259
2008-10-01,-0.024399999999999977
2008-11-01,0.012199999999999878
2008-12-01,0.010300000000000087
2009-01-01,0.0031000000000001027
2009-02-01,-0.07220000000000004
2009-03-01,0.00029999999999996696
2009-04-01,-0.03410000000000002
2009-05-01,-0.10709999999999997
2009-06-01,-0.15100000000000002
2009-07-01,-0.08549999999999991
2009-08-01,-0.23299999999999987
2009-09-01,-0.18139999999999978
2009-10-01,-0.36019999999999963
2009-11-01,-0.4193999999999998
2009-12-01,-0.4726999999999999
2010-01-01,-0.4189999999999998
2010-02-01,-0.33069999999999977
2010-03-01,-0.3978999999999999
2010-04-01,-0.3783999999999996
2010-05-01,-0.34079999999999977
2010-06-01,-0.3938999999999997
2010-07-01,-0.4856999999999998
2010-08-01,-0.5646999999999998
2010-09-01,-0.6203999999999998
2010-10-01,-0.7578999999999996
2010-11-01,-0.8191999999999995
2010-12-01,-0.8015999999999996
2011-01-01,-0.7667999999999997
2011-02-01,-0.7840999999999998
2011-03-01,-0.6774999999999995
2011-04-01,-0.5765999999999998
2011-05-01,-0.6568999999999998
2011-06-01,-0.6672999999999998
2011-07-01,-0.5855999999999997
2011-08-01,-0.6464999999999999
2011-09-01,-0.6278999999999998
2011-10-01,-0.28060000000000007
2011-11-01,-0.4250999999999999
2011-12-01,-0.3569999999999999
2012-01-01,-0.3771000000000001
2012-02-01,-0.4889999999999999
2012-03-01,-0.49839999999999973
2012-04-01,-0.3406999999999998
2012-05-01,-0.4132999999999998
2012-06-01,-0.40159999999999996
2012-07-01,-0.3918999999999999
2012-08-01,-0.4862000000000001
2012-09-01,-0.48740000000000006
2012-10-01,-0.5207999999999998
2012-11-01,-0.5344999999999996
2012-12-01,-0.5315999999999997
2013-01-01,-0.4482999999999999
2013-02-01,-0.43379999999999974
2013-03-01,-0.42579999999999973
2013-04-01,-0.21989999999999976
2013-05-01,-0.1046999999999998
2013-06-01,-0.18269999999999986
2013-07-01,-0.10150000000000015
2013-08-01,-0.17239999999999966
2013-09-01,-0.2085999999999999
2013-10-01,-0.16139999999999977
2013-11-01,-0.1898000000000002
2013-12-01,-0.1795
2014-01-01,-0.13590000000000013
2014-02-01,-0.1363000000000001
2014-03-01,-0.2550999999999999
2014-04-01,-0.16900000000000026
2014-05-01,-0.24469999999999992
2014-06-01,-0.2652000000000001
2014-07-01,-0.2106999999999999
2014-08-01,-0.26970000000000005
2014-09-01,-0.26980000000000004
2014-10-01,-0.1069
2014-11-01,-0.12549999999999994
2014-12-01,-0.1100000000000001
2015-01-01,-0.052300000000000235
2015-02-01,-0.12149999999999994
2015-03-01,-0.07360000000000011
2015-04-01,-0.007500000000000062
2015-05-01,-0.08840000000000003
2015-06-01,-0.04700000000000015
2015-07-01,-0.03949999999999987
2015-08-01,0.07079999999999975
2015-09-01,0.12319999999999998
2015-10-01,0.07899999999999996
2015-11-01,0.10919999999999974
2015-12-01,0.1880999999999997
2016-01-01,0.15079999999999982
2016-02-01,0.1584000000000001
2016-03-01,0.024499999999999966
2016-04-01,-0.017400000000000082
2016-05-01,-0.03180000000000005
2016-06-01,0.062000000000000055
2016-07-01,-0.06149999999999989
2016-08-01,-0.09760000000000013
2016-09-01,-0.06729999999999992
2016-10-01,-0.07750000000000012
2016-11-01,0.0019000000000000128
2016-12-01,0.08450000000000002
2017-01-01,0.20969999999999978
2017-02-01,0.12109999999999976
2017-03-01,0.04109999999999969
2017-04-01,0.10039999999999982
2017-05-01,-0.0023000000000001908
2017-06-01,-0.038100000000000245
2017-07-01,-0.00790000000000024
2017-08-01,-0.05810000000000004
2017-09-01,-0.10309999999999997
2017-10-01,0.004699999999999704
2017-11-01,0.0774999999999999
2017-12-01,0.000400000000000178
2018-01-01,-0.019400000000000084
2018-02-01,-0.06679999999999997
2018-03-01,-0.11060000000000003
2018-04-01,-0.048900000000000166
2018-05-01,-0.04400000000000004
2018-06-01,-0.05269999999999997
2018-07-01,0.007999999999999785
2018-08-01,0.0041999999999997595
2018-09-01,0.036599999999999744
2018-10-01,0.11709999999999976
2018-11-01,0.12660000000000005
2018-12-01,0.03049999999999997
2019-01-01,-0.10319999999999996
2019-02-01,-0.14549999999999996
2019-03-01,-0.1752999999999998
2019-04-01,-0.18349999999999977
2019-05-01,-0.17739999999999978
2019-06-01,-0.16480000000000006
